task_id,study,cell_id,job_type,scenario_code,n,p,main_k,separation,main_structure,main_distribution,main_weights,residual_total,minority_ratio,q,minority_shape,minority_sd,minority_proximity,noise_type,k_fit,alpha_fit,restr_fact,auto_macro,nstart,null_reps,nstart_values,null_reps_values,rep_start,rep_end,method_set,factor_changed
1,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,1,10,core,full_factorial
2,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,11,20,core,full_factorial
3,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,21,30,core,full_factorial
4,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,31,40,core,full_factorial
5,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,41,50,core,full_factorial
6,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,51,60,core,full_factorial
7,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,61,70,core,full_factorial
8,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,71,80,core,full_factorial
9,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,81,90,core,full_factorial
10,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,91,100,core,full_factorial
11,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,101,110,core,full_factorial
12,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,111,120,core,full_factorial
13,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,121,130,core,full_factorial
14,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,131,140,core,full_factorial
15,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,141,150,core,full_factorial
16,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,151,160,core,full_factorial
17,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,161,170,core,full_factorial
18,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,171,180,core,full_factorial
19,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,181,190,core,full_factorial
20,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,191,200,core,full_factorial
21,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,201,210,core,full_factorial
22,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,211,220,core,full_factorial
23,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,221,230,core,full_factorial
24,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,231,240,core,full_factorial
25,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,241,250,core,full_factorial
