task_id,study,cell_id,job_type,scenario_code,n,p,main_k,separation,main_structure,main_distribution,main_weights,residual_total,minority_ratio,q,minority_shape,minority_sd,minority_proximity,noise_type,k_fit,alpha_fit,restr_fact,auto_macro,nstart,null_reps,nstart_values,null_reps_values,rep_start,rep_end,method_set,factor_changed
1,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,1,10,core,baseline
2,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,11,20,core,baseline
3,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,21,30,core,baseline
4,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,31,40,core,baseline
5,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,41,50,core,baseline
6,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,51,60,core,baseline
7,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,61,70,core,baseline
8,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,71,80,core,baseline
9,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,81,90,core,baseline
10,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,91,100,core,baseline
11,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,101,110,core,baseline
12,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,111,120,core,baseline
13,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,121,130,core,baseline
14,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,131,140,core,baseline
15,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,141,150,core,baseline
16,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,151,160,core,baseline
17,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,161,170,core,baseline
18,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,171,180,core,baseline
19,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,181,190,core,baseline
20,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,191,200,core,baseline
21,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,201,210,core,baseline
22,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,211,220,core,baseline
23,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,221,230,core,baseline
24,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,231,240,core,baseline
25,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,241,250,core,baseline
26,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,251,260,core,baseline
27,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,261,270,core,baseline
28,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,271,280,core,baseline
29,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,281,290,core,baseline
30,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,291,300,core,baseline
31,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,301,310,core,baseline
32,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,311,320,core,baseline
33,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,321,330,core,baseline
34,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,331,340,core,baseline
35,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,341,350,core,baseline
36,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,351,360,core,baseline
37,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,361,370,core,baseline
38,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,371,380,core,baseline
39,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,381,390,core,baseline
