"study","cell_id","scenario","factor_changed","method","n","p","main_k","separation","main_structure","main_distribution","minority_ratio","q","minority_sd","minority_proximity","MajorARI","MinorityDetectionF1","MinorityClusterF1","AnyMicroDiscovery","AbsQError","SpuriousExtraClusters","end_to_end_seconds"
"architecture",1,"N0","full_factorial","DBSCAN_full",500,2,2,6,"spherical","normal",0,0,0.2,"isolated",0.547230151038814,NA,NA,0.457,0.644,0.644,0.00643699999999847
"architecture",2,"N0","full_factorial","DBSCAN_full",500,2,2,10,"spherical","normal",0,0,0.2,"isolated",0.94209801545679,NA,NA,0.605,0.859,0.859,0.00270099999999968
"architecture",3,"N0","full_factorial","DBSCAN_full",500,2,2,6,"elliptical","normal",0,0,0.2,"isolated",0.00542632050212948,NA,NA,0.173,0.204,0.204,0.00277400000000193
"architecture",4,"N0","full_factorial","DBSCAN_full",500,2,2,10,"elliptical","normal",0,0,0.2,"isolated",0.923117529516382,NA,NA,0.541,0.717,0.717,0.0027470000000128
"architecture",5,"N0","full_factorial","DBSCAN_full",500,5,2,6,"spherical","normal",0,0,0.2,"isolated",2.73062759270497e-06,NA,NA,0,0,0,0.00905400000000873
"architecture",6,"N0","full_factorial","DBSCAN_full",500,5,2,10,"spherical","normal",0,0,0.2,"isolated",-8.22239139458346e-07,NA,NA,0,0,0,0.00948599999999169
"architecture",7,"N0","full_factorial","DBSCAN_full",500,5,2,6,"elliptical","normal",0,0,0.2,"isolated",3.19729056827438e-05,NA,NA,0,0,0,0.0090579999999859
"architecture",8,"N0","full_factorial","DBSCAN_full",500,5,2,10,"elliptical","normal",0,0,0.2,"isolated",2.8741527153233e-06,NA,NA,0,0,0,0.00953099999998995
"architecture",9,"N0","full_factorial","DBSCAN_full",1000,2,2,6,"spherical","normal",0,0,0.2,"isolated",0.695171383843606,NA,NA,0.83,1.792,1.792,0.00456000000002314
"architecture",10,"N0","full_factorial","DBSCAN_full",1000,2,2,10,"spherical","normal",0,0,0.2,"isolated",0.945696658300501,NA,NA,0.826,1.599,1.599,0.00472499999997854
"architecture",11,"N0","full_factorial","DBSCAN_full",1000,2,2,6,"elliptical","normal",0,0,0.2,"isolated",0.00187034130996361,NA,NA,0.596,1.017,1.017,0.00464200000005985
"architecture",12,"N0","full_factorial","DBSCAN_full",1000,2,2,10,"elliptical","normal",0,0,0.2,"isolated",0.945842921444546,NA,NA,0.771,1.378,1.378,0.0047340000000022
"architecture",13,"N0","full_factorial","DBSCAN_full",1000,5,2,6,"spherical","normal",0,0,0.2,"isolated",3.90437115508828e-06,NA,NA,0,0,0,0.0214929999999949
"architecture",14,"N0","full_factorial","DBSCAN_full",1000,5,2,10,"spherical","normal",0,0,0.2,"isolated",-7.4089690212746e-07,NA,NA,0,0,0,0.022729999999985
"architecture",15,"N0","full_factorial","DBSCAN_full",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",3.42011581855585e-05,NA,NA,0,0,0,0.0217459999999919
"architecture",16,"N0","full_factorial","DBSCAN_full",1000,5,2,10,"elliptical","normal",0,0,0.2,"isolated",4.50131406321385e-06,NA,NA,0,0,0,0.0232069999999003
"architecture",17,"M1","full_factorial","DBSCAN_full",500,2,2,6,"spherical","normal",0.05,1,0.2,"isolated",0.674745089968314,0.982737753472815,0.982737753472815,1,0.436666666666667,0.436666666666667,0.00262999999995372
"architecture",18,"M1","full_factorial","DBSCAN_full",500,2,2,10,"spherical","normal",0.05,1,0.2,"isolated",0.921006718074754,0.988216732276705,0.988216732276705,1,0.643333333333333,0.643333333333333,0.00252000000005258
"architecture",19,"M1","full_factorial","DBSCAN_full",500,2,2,6,"elliptical","normal",0.05,1,0.2,"isolated",0.00886371563593586,0.98218525983869,0.98218525983869,0.996666666666667,0.103333333333333,0.1,0.00294999999999466
"architecture",20,"M1","full_factorial","DBSCAN_full",500,2,2,10,"elliptical","normal",0.05,1,0.2,"isolated",0.919604016066107,0.987537139113023,0.987537139113023,1,0.723333333333333,0.723333333333333,0.00260000000004463
"architecture",21,"M1","full_factorial","DBSCAN_full",500,5,2,6,"spherical","normal",0.05,1,0.2,"isolated",1.10310790163468e-05,0.306082346764922,0.306082346764922,0.316666666666667,0.683333333333333,0,0.00835999999977503
"architecture",22,"M1","full_factorial","DBSCAN_full",500,5,2,10,"spherical","normal",0.05,1,0.2,"isolated",-3.48518787964635e-06,0.989828775244979,0.989828775244979,1,0,0,0.00841999999998128
"architecture",23,"M1","full_factorial","DBSCAN_full",500,5,2,6,"elliptical","normal",0.05,1,0.2,"isolated",5.57724464141551e-05,0.589009636381076,0.589009636381076,0.606666666666667,0.393333333333333,0,0.00838333333329501
"architecture",24,"M1","full_factorial","DBSCAN_full",500,5,2,10,"elliptical","normal",0.05,1,0.2,"isolated",2.49644187714024e-05,0.991248944667369,0.991248944667369,1,0,0,0.00843333333340221
"architecture",25,"M1","full_factorial","DBSCAN_full",1000,2,2,6,"spherical","normal",0.05,1,0.2,"isolated",0.792011150811687,0.98580956085843,0.98580956085843,1,0.89,0.89,0.00455666666662485
"architecture",26,"M1","full_factorial","DBSCAN_full",1000,2,2,10,"spherical","normal",0.05,1,0.2,"isolated",0.918193898042556,0.990158873045079,0.99015887304508,1,1.35666666666667,1.35666666666667,0.00479666666660099
