"study","cell_id","comparator","NPairs","MajorARI_MeanAdvantage","MajorARI_MCSE","MinorityDetectionF1_MeanAdvantage","MinorityDetectionF1_MCSE","MinorityClusterF1_MeanAdvantage","MinorityClusterF1_MCSE","AnyMicroDiscovery_MeanAdvantage","AnyMicroDiscovery_MCSE","AbsQError_MeanAdvantage","AbsQError_MCSE","SpuriousExtraClusters_MeanAdvantage","SpuriousExtraClusters_MCSE","end_to_end_seconds_MeanAdvantage","end_to_end_seconds_MCSE"
"architecture",1,"TCLUST",1000,-1.68479632803642e-07,2.63408171004059e-06,NA,NA,NA,NA,-0.067,0.00791034598317757,-0.067,0.00791034598317757,-0.067,0.00791034598317757,-0.290494,0.0215800411060345
"architecture",2,"TCLUST",1000,2.35432080136777e-06,1.24909657190182e-06,NA,NA,NA,NA,-0.01,0.00314800093867678,-0.01,0.00314800093867678,-0.01,0.00314800093867678,-0.11377,0.0104050908220454
"architecture",3,"TCLUST",1000,3.85145252071917e-06,2.49751063130749e-06,NA,NA,NA,NA,-0.058,0.00739531545579299,-0.058,0.00739531545579299,-0.058,0.00739531545579299,-0.284329999999998,0.0219012793493243
"architecture",4,"TCLUST",1000,3.5373795894329e-06,1.59183261426943e-06,NA,NA,NA,NA,-0.031,0.00548352706467918,-0.031,0.00548352706467918,-0.031,0.00548352706467918,-0.214547000000008,0.0182246149583849
"architecture",5,"TCLUST",1000,0,0,NA,NA,NA,NA,0,0,0,0,0,0,-0.045751999999999,0.000231724388427845
"architecture",6,"TCLUST",1000,0,0,NA,NA,NA,NA,0,0,0,0,0,0,-0.0455789999999993,0.000249744131324791
"architecture",7,"TCLUST",1000,0,0,NA,NA,NA,NA,0,0,0,0,0,0,-0.0448259999999873,0.000153672832144596
"architecture",8,"TCLUST",1000,0,0,NA,NA,NA,NA,0,0,0,0,0,0,-0.0450729999999867,0.000169056946770031
"architecture",9,"TCLUST",1000,2.87000971880724e-07,3.7124257579298e-07,NA,NA,NA,NA,-0.03,0.00539714082909916,-0.03,0.00539714082909916,-0.03,0.00539714082909916,-0.333556999999997,0.0282568906396235
"architecture",10,"TCLUST",1000,8.86415673769791e-08,2.1963721300043e-07,NA,NA,NA,NA,-0.007,0.00263779414624378,-0.007,0.00263779414624378,-0.007,0.00263779414624378,-0.220855000000005,0.0215089522525388
"architecture",11,"TCLUST",1000,4.07137756700426e-07,8.15494862595252e-07,NA,NA,NA,NA,-0.023,0.00474273059465678,-0.023,0.00474273059465678,-0.023,0.00474273059465678,-0.322871000000006,0.0282456006541773
"architecture",12,"TCLUST",1000,1.3482626069653e-06,1.00490374218965e-06,NA,NA,NA,NA,-0.017,0.00408995448968906,-0.017,0.00408995448968906,-0.017,0.00408995448968906,-0.336034999999983,0.0299993939507528
"architecture",13,"TCLUST",1000,0,0,NA,NA,NA,NA,0,0,0,0,0,0,-0.0652110000000139,0.000152747539459379
"architecture",14,"TCLUST",1000,0,0,NA,NA,NA,NA,0,0,0,0,0,0,-0.06503999999997,0.000250445848684751
"architecture",15,"TCLUST",1000,0,0,NA,NA,NA,NA,0,0,0,0,0,0,-0.0654469999999965,0.000232118655151853
"architecture",16,"TCLUST",1000,0,0,NA,NA,NA,NA,0,0,0,0,0,0,-0.0646700000000165,0.000243705749814115
"architecture",17,"TCLUST",300,3.35888242388357e-06,3.0034988124466e-06,0.807476601684856,0.0111367105888618,0.807476601684856,0.0111367105888618,-0.98,0.00809640904752736,0.81,0.0236497105084797,-0.17,0.0227266240912811,-1.4995966666667,0.0128702019435388
"architecture",18,"TCLUST",300,3.29633965293989e-07,4.12305812173114e-07,0.791270686522101,0.00984862377663411,0.791270686522101,0.00984862377663411,-0.996666666666667,0.00333333333333333,0.693333333333333,0.0294480376147687,-0.303333333333333,0.0293741228511402,-1.60040333333333,0.00895977770160845
"architecture",19,"TCLUST",300,3.25958010831684e-07,1.04290091607446e-06,0.821772305174724,0.00993197116783939,0.821772305174724,0.00993197116783939,-0.99,0.00575416091997579,0.796666666666667,0.025118818350051,-0.193333333333333,0.0247138961507605,-1.52457666666674,0.00951482867603601
"architecture",20,"TCLUST",300,4.6163501757938e-07,4.22406641824222e-07,0.806543870044885,0.00962297029784597,0.806543870044885,0.00962297029784597,-0.996666666666667,0.00333333333333333,0.696666666666667,0.0308549067316136,-0.3,0.0307831629550338,-1.63664666666657,0.00731046999411393
"architecture",21,"TCLUST",300,-6.74993595732346e-06,3.74192007523796e-06,0.544713850676451,0.0235731638413931,0.544713850676451,0.0235731638413931,-0.646666666666667,0.0276437494909069,0.646666666666667,0.0276437494909069,0,0,-0.806286666666468,0.0326245305363378
"architecture",22,"TCLUST",300,-6.69746170160283e-08,1.0801510370164e-06,0.77372289223047,0.0127069759640221,0.77372289223047,0.0127069759640221,-0.933333333333333,0.014425708913821,0.933333333333333,0.014425708913821,0,0,-1.18929999999991,0.0179747304974234
"architecture",23,"TCLUST",300,-1.3094465211377e-05,3.40990828528146e-06,0.712080154096467,0.0177343196173085,0.712080154096467,0.0177343196173085,-0.85,0.0206499734789727,0.85,0.0206499734789727,0,0,-1.0377266666666,0.0244168366684602
"architecture",24,"TCLUST",300,-2.5747385006177e-06,1.38020352928033e-06,0.787190659626875,0.0106271589418659,0.787190659626875,0.0106271589418659,-0.956666666666667,0.0117748606359128,0.956666666666667,0.0117748606359128,0,0,-1.22030666666668,0.0148308702826619
"architecture",25,"TCLUST",300,2.33829908234543e-06,1.07684899712288e-06,0.793935161869105,0.010893833250725,0.793935161869105,0.010893833250725,-1,0,0.503333333333333,0.0418358882527157,-0.496666666666667,0.0418358882527157,-2.20313666666665,0.0105130822556315
"architecture",26,"TCLUST",300,3.29121547955798e-08,7.73874701310354e-08,0.793053713003943,0.0111114911911417,0.793053713003943,0.0111114911911417,-1,0,0.413333333333333,0.0473072768892281,-0.586666666666667,0.0473072768892281,-2.29557666666659,0.0127450120248087
"architecture",27,"TCLUST",300,8.06927544820072e-08,3.33824855332462e-07,0.801232713290262,0.0108937679177207,0.801232713290262,0.0108937679177207,-1,0,0.496666666666667,0.0456584023639553,-0.503333333333333,0.0456584023639553,-2.24823666666678,0.0115910809311916
"architecture",28,"TCLUST",300,-4.60214662674948e-11,3.29939477670965e-11,0.77256581570665,0.011789178147799,0.77256581570665,0.011789178147799,-1,0,0.313333333333333,0.0543068890787542,-0.686666666666667,0.0543068890787542,-2.33693333333315,0.0115443706410076
"architecture",29,"TCLUST",300,2.51418002945184e-06,1.72106021955738e-06,0.565402706557197,0.0234685004582593,0.565402706557197,0.0234685004582593,-0.666666666666667,0.0272620273369844,0.666666666666667,0.0272620273369844,0,0,-1.15080333333333,0.0446089343947341
"architecture",30,"TCLUST",300,-9.72673333511735e-07,6.05477791877745e-07,0.818286612629766,0.0102206441924073,0.818286612629766,0.0102206441924073,-0.963333333333333,0.0108689706266209,0.963333333333333,0.0108689706266209,0,0,-1.70276333333346,0.0187941842675335
"architecture",31,"TCLUST",300,-6.45397964134579e-06,1.97098586236768e-06,0.802218528978512,0.01210663299027,0.802218528978512,0.01210663299027,-0.943333333333333,0.0133709058129725,0.943333333333333,0.0133709058129725,0,0,-1.57596000000014,0.021908122611116
"architecture",32,"TCLUST",300,-2.88417608953447e-06,6.42503392213278e-07,0.832377272384409,0.00695109578675741,0.832377272384409,0.00695109578675741,-0.986666666666667,0.00663313753541497,0.986666666666667,0.00663313753541497,0,0,-1.72711666666673,0.0116186434373863
"architecture",33,"TCLUST",300,-7.95187253484301e-07,2.02002818449738e-06,0.856205010788361,0.00534591077453393,0.856205010788361,0.00534591077453393,-1,0,0.963333333333333,0.0108689706266209,-0.0366666666666667,0.0108689706266209,-2.14819000000012,0.010449012035052
"architecture",34,"TCLUST",300,2.63899888035546e-07,2.63899888035546e-07,0.856196766219562,0.00576832274399144,0.856196766219562,0.00576832274399144,-1,0,0.953333333333333,0.0121980437173918,-0.0466666666666667,0.0121980437173918,-2.3076966666665,0.0112200456644381
"architecture",35,"TCLUST",300,1.71114722324894e-06,2.01286960283193e-06,0.850255264937027,0.00531994848724938,0.850255264937027,0.00531994848724938,-1,0,0.953333333333333,0.0121980437173918,-0.0466666666666667,0.0121980437173918,-2.13320333333328,0.010583146714878
