"study","cell_id","scenario","factor_changed","method","n","p","main_k","separation","main_structure","main_distribution","minority_ratio","q","minority_sd","minority_proximity","MajorARI","MinorityDetectionF1","MinorityClusterF1","AnyMicroDiscovery","AbsQError","SpuriousExtraClusters","end_to_end_seconds"
"negative_control",1,"N0X","baseline","DBSCAN_full",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",4.06619929050161e-05,NA,NA,0,0,0,0.0232880000000003
"negative_control",2,"N0X","noise_type","DBSCAN_full",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",5.9611355565561e-08,NA,NA,0,0,0,0.028396000000004
"negative_control",3,"N0X","noise_type","DBSCAN_full",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.000183421645510725,NA,NA,0,0,0,0.0229539999999915
"negative_control",4,"N0X","noise_type","DBSCAN_full",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.000207789223048916,NA,NA,0,0,0,0.0216180000000068
"negative_control",5,"N0X","main_distribution","DBSCAN_full",1000,5,2,6,"elliptical","t5",0,0,0.2,"isolated",0.000157711379167504,NA,NA,0,0,0,0.0254950000000163
"negative_control",6,"N0X","main_distribution","DBSCAN_full",1000,5,2,6,"elliptical","t3",0,0,0.2,"isolated",0.000161507881616983,NA,NA,0,0,0,0.027497999999986
"negative_control",7,"N0X","p","DBSCAN_full",1000,10,2,6,"elliptical","normal",0,0,0.2,"isolated",4.80649489748906e-07,NA,NA,0,0,0,0.0612359999999571
"negative_control",8,"N0X","p","DBSCAN_full",1000,25,2,6,"elliptical","normal",0,0,0.2,"isolated",0,NA,NA,0,0,0,0.0974209999999603
"negative_control",9,"N0X","residual_total","DBSCAN_full",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",7.61496464215847e-05,NA,NA,0,0,0,0.0212820000000138
"negative_control",10,"N0X","residual_total","DBSCAN_full",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",1.20854523256526e-05,NA,NA,0,0,0,0.0206550000000152
"negative_control",1,"N0X","baseline","HDBSCAN_full",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.0187446706146116,NA,NA,0.174,0.188,0.188,0.0372910000000005
"negative_control",2,"N0X","noise_type","HDBSCAN_full",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.0218289260689209,NA,NA,0.136,0.147,0.147,0.0357790000000098
"negative_control",3,"N0X","noise_type","HDBSCAN_full",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",2.1965855757471e-05,NA,NA,0.026,0.033,0.033,0.035881999999996
"negative_control",4,"N0X","noise_type","HDBSCAN_full",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.000413618468454083,NA,NA,0.723,1.016,1.016,0.0354100000000153
"negative_control",5,"N0X","main_distribution","HDBSCAN_full",1000,5,2,6,"elliptical","t5",0,0,0.2,"isolated",0.0250272454141709,NA,NA,0.025,0.025,0.025,0.0356290000000081
"negative_control",6,"N0X","main_distribution","HDBSCAN_full",1000,5,2,6,"elliptical","t3",0,0,0.2,"isolated",0.0284042450736473,NA,NA,0.014,0.014,0.014,0.0353730000000078
"negative_control",7,"N0X","p","HDBSCAN_full",1000,10,2,6,"elliptical","normal",0,0,0.2,"isolated",0,NA,NA,0,0,0,0.0620529999999699
"negative_control",8,"N0X","p","HDBSCAN_full",1000,25,2,6,"elliptical","normal",0,0,0.2,"isolated",0,NA,NA,0,0,0,0.0938109999999633
"negative_control",9,"N0X","residual_total","HDBSCAN_full",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.0178486600414196,NA,NA,0.188,0.201,0.201,0.0344049999999897
"negative_control",10,"N0X","residual_total","HDBSCAN_full",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.022848999991409,NA,NA,0.12,0.131,0.131,0.0319840000000149
"negative_control",1,"N0X","baseline","OTRIMLE_fixedK",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.507211918554578,NA,NA,0.002,0.002,0.002,3.033551
"negative_control",2,"N0X","noise_type","OTRIMLE_fixedK",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.597159250379141,NA,NA,0,0,0,2.534159
"negative_control",3,"N0X","noise_type","OTRIMLE_fixedK",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.414998237458051,NA,NA,0.002,0.002,0.002,4.421933
"negative_control",4,"N0X","noise_type","OTRIMLE_fixedK",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.396335314857326,NA,NA,0.001,0.001,0.001,4.55881600000002
"negative_control",5,"N0X","main_distribution","OTRIMLE_fixedK",1000,5,2,6,"elliptical","t5",0,0,0.2,"isolated",0.129942971610253,NA,NA,0.122,0.122,0.122,3.31583700000002
"negative_control",6,"N0X","main_distribution","OTRIMLE_fixedK",1000,5,2,6,"elliptical","t3",0,0,0.2,"isolated",0.0635963513095209,NA,NA,0.165,0.165,0.165,3.51051000000001
"negative_control",7,"N0X","p","OTRIMLE_fixedK",1000,10,2,6,"elliptical","normal",0,0,0.2,"isolated",0.126557885513831,NA,NA,0.015,0.015,0.015,4.25662099999997
"negative_control",8,"N0X","p","OTRIMLE_fixedK",1000,25,2,6,"elliptical","normal",0,0,0.2,"isolated",4.2718665488369e-05,NA,NA,0.035,0.035,0.035,20.6258379999999
"negative_control",9,"N0X","residual_total","OTRIMLE_fixedK",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.543275194980384,NA,NA,0,0,0,3.00947300000003
"negative_control",10,"N0X","residual_total","OTRIMLE_fixedK",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.407315689980008,NA,NA,0.022,0.022,0.022,2.69110299999997
"negative_control",1,"N0X","baseline","TCLUST",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.859327579412051,NA,NA,0,0,0,0.374762000000004
"negative_control",2,"N0X","noise_type","TCLUST",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.941873614545163,NA,NA,0,0,0,0.370849000000003
"negative_control",3,"N0X","noise_type","TCLUST",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.756308710972967,NA,NA,0,0,0,0.374930000000007
