"study","cell_id","comparator","NPairs","MajorARI_MeanAdvantage","MajorARI_MCSE","MinorityDetectionF1_MeanAdvantage","MinorityDetectionF1_MCSE","MinorityClusterF1_MeanAdvantage","MinorityClusterF1_MCSE","AnyMicroDiscovery_MeanAdvantage","AnyMicroDiscovery_MCSE","AbsQError_MeanAdvantage","AbsQError_MCSE","SpuriousExtraClusters_MeanAdvantage","SpuriousExtraClusters_MCSE","end_to_end_seconds_MeanAdvantage","end_to_end_seconds_MCSE"
"negative_control",1,"TCLUST",1000,0,0,NA,NA,NA,NA,0,0,0,0,0,0,-0.071309,0.000506009451062466
"negative_control",2,"TCLUST",1000,0,0,NA,NA,NA,NA,0,0,0,0,0,0,-0.0614259999999979,0.000221408097290114
"negative_control",3,"TCLUST",1000,0,0,NA,NA,NA,NA,0,0,0,0,0,0,-0.0667960000000007,0.000232784390740549
"negative_control",4,"TCLUST",1000,0,0,NA,NA,NA,NA,-0.003,0.00173031615434694,-0.003,0.00173031615434694,-0.003,0.00173031615434694,-0.0742179999999976,0.004306743376905
"negative_control",5,"TCLUST",1000,0,0,NA,NA,NA,NA,0,0,0,0,0,0,-0.0641019999999917,0.000348049902649952
"negative_control",6,"TCLUST",1000,0,0,NA,NA,NA,NA,0,0,0,0,0,0,-0.0628980000000083,0.000196988325544147
"negative_control",7,"TCLUST",1000,0,0,NA,NA,NA,NA,0,0,0,0,0,0,-0.0759639999999908,0.000348419431288992
"negative_control",8,"TCLUST",1000,0,0,NA,NA,NA,NA,0,0,0,0,0,0,-0.0967599999999711,0.000319199449073464
"negative_control",9,"TCLUST",1000,0,0,NA,NA,NA,NA,0,0,0,0,0,0,-0.0446840000000448,0.00016380774394763
"negative_control",10,"TCLUST",1000,0,0,NA,NA,NA,NA,0,0,0,0,0,0,-0.100422000000037,0.000314593205401871
"negative_control",1,"TSRClust_unvalidated",1000,8.01763694780688e-07,2.80437487683883e-07,NA,NA,NA,NA,1,0,1,0,1,0,-0.069235,0.000412652465225851
"negative_control",2,"TSRClust_unvalidated",1000,0,0,NA,NA,NA,NA,1,0,1,0,1,0,-0.0600969999999937,0.000222946846347665
"negative_control",3,"TSRClust_unvalidated",1000,1.04214715779594e-07,9.19230812867196e-07,NA,NA,NA,NA,1,0,1,0,1,0,-0.0655319999999997,0.000233674088378317
"negative_control",4,"TSRClust_unvalidated",1000,1.80772701062004e-06,8.58118167006121e-07,NA,NA,NA,NA,0.997,0.00173031615434694,0.997,0.00173031615434694,0.997,0.00173031615434694,-0.072984000000029,0.00430716233631816
"negative_control",5,"TSRClust_unvalidated",1000,8.21546664908845e-06,2.57022222282201e-06,NA,NA,NA,NA,1,0,1,0,1,0,-0.062854999999985,0.000348671115159987
"negative_control",6,"TSRClust_unvalidated",1000,1.06069001706487e-05,3.70451505477886e-06,NA,NA,NA,NA,1,0,1,0,1,0,-0.0616140000000041,0.000197418281773004
"negative_control",7,"TSRClust_unvalidated",1000,0,0,NA,NA,NA,NA,1,0,1,0,1,0,-0.0743750000000027,0.000348792246229928
"negative_control",8,"TSRClust_unvalidated",1000,0,0,NA,NA,NA,NA,1,0,1,0,1,0,-0.0947559999999758,0.000319525524115487
"negative_control",9,"TSRClust_unvalidated",1000,4.47760612742876e-09,4.46141516481163e-08,NA,NA,NA,NA,1,0,1,0,1,0,-0.0438040000000547,0.000164312454131394
"negative_control",10,"TSRClust_unvalidated",1000,4.29465584940036e-06,9.52456849177729e-07,NA,NA,NA,NA,1,0,1,0,1,0,-0.0985330000000686,0.000312468474486954
"negative_control",1,"Trimmed_kmeans",1000,0.854279725219858,0.000540508250272221,NA,NA,NA,NA,0,0,0,0,0,0,-0.269453,0.00082587278491114
"negative_control",2,"Trimmed_kmeans",1000,0.936215461106399,0.000609662944080451,NA,NA,NA,NA,0,0,0,0,0,0,-0.257625000000004,0.000443679192915307
"negative_control",3,"Trimmed_kmeans",1000,0.751216847500971,0.000449851512006558,NA,NA,NA,NA,0,0,0,0,0,0,-0.266463000000002,0.000469927082069335
"negative_control",4,"Trimmed_kmeans",1000,0.754818830239727,0.000489281984018996,NA,NA,NA,NA,-0.003,0.00173031615434694,-0.003,0.00173031615434694,-0.003,0.00173031615434694,-0.274194000000001,0.00431353694373443
"negative_control",5,"Trimmed_kmeans",1000,0.732523963548127,0.000709890267816004,NA,NA,NA,NA,0,0,0,0,0,0,-0.264477000000001,0.000530926882304813
"negative_control",6,"Trimmed_kmeans",1000,0.678418506276921,0.000747086330794599,NA,NA,NA,NA,0,0,0,0,0,0,-0.266677000000001,0.000588468321974254
"negative_control",7,"Trimmed_kmeans",1000,0.872146214651799,0.000555996551484748,NA,NA,NA,NA,0,0,0,0,0,0,-0.479030999999971,0.00113447921183332
"negative_control",8,"Trimmed_kmeans",1000,0.0284563807974933,0.00263309028863245,NA,NA,NA,NA,0,0,0,0,0,0,-1.74119400000004,0.00183503016315849
"negative_control",9,"Trimmed_kmeans",1000,0.894564330743729,0.000536628994309712,NA,NA,NA,NA,0,0,0,0,0,0,-0.241923999999999,0.000488846801354725
"negative_control",10,"Trimmed_kmeans",1000,0.784465673880975,0.000667016145201281,NA,NA,NA,NA,0,0,0,0,0,0,-0.289910000000036,0.00065406857874869
"negative_control",1,"DBSCAN_full",1000,0.859286917419146,0.000508492154855893,NA,NA,NA,NA,0,0,0,0,0,0,-0.422783000000004,0.000656233612026531
"negative_control",2,"DBSCAN_full",1000,0.941873554933808,0.000493727796493699,NA,NA,NA,NA,0,0,0,0,0,0,-0.403878999999997,0.000497350697915439
"negative_control",3,"DBSCAN_full",1000,0.756125289327457,0.000417119362643645,NA,NA,NA,NA,0,0,0,0,0,0,-0.418772000000016,0.000521323118414744
"negative_control",4,"DBSCAN_full",1000,0.762780846944174,0.000407769669379497,NA,NA,NA,NA,-0.003,0.00173031615434694,-0.003,0.00173031615434694,-0.003,0.00173031615434694,-0.428678000000008,0.00431474371536939
"negative_control",5,"DBSCAN_full",1000,0.737116805878097,0.00067602204201739,NA,NA,NA,NA,0,0,0,0,0,0,-0.414224999999986,0.00057667575805639
