"study","cell_id","scenario","factor_changed","method","n","p","main_k","separation","main_structure","main_distribution","minority_ratio","q","minority_sd","minority_proximity","MajorARI","MinorityDetectionF1","MinorityClusterF1","AnyMicroDiscovery","AbsQError","SpuriousExtraClusters","end_to_end_seconds"
"stress",1,"M1","baseline","DBSCAN_full",1000,5,2,6,"elliptical","normal",0.05,1,0.2,"isolated",5.75712988680251e-05,0.612846513080626,0.612846513080626,0.626666666666667,0.373333333333333,0,0.0250533333333336
"stress",2,"M1","n","DBSCAN_full",300,5,2,6,"elliptical","normal",0.05,1,0.2,"isolated",2.26893830294505e-05,0.50701216557004,0.50701216557004,0.526666666666667,0.473333333333333,0,0.00888000000000105
"stress",3,"M1","n","DBSCAN_full",500,5,2,6,"elliptical","normal",0.05,1,0.2,"isolated",4.59077508390158e-05,0.576017191206817,0.576017191206817,0.593333333333333,0.406666666666667,0,0.00847333333333182
"stress",4,"M1","n","DBSCAN_full",3000,5,2,6,"elliptical","normal",0.05,1,0.2,"isolated",8.28031784724084e-05,0.72473574035506,0.72473574035506,0.733333333333333,0.266666666666667,0,0.0798766666666636
"stress",5,"M1","p","DBSCAN_full",1000,2,2,6,"elliptical","normal",0.05,1,0.2,"isolated",0.00314607715354348,0.985490754217086,0.985490754217086,1,0.513333333333333,0.513333333333333,0.00456333333333911
"stress",6,"M1","p","DBSCAN_full",1000,10,2,6,"elliptical","normal",0.05,1,0.2,"isolated",2.25843067187495e-06,0,0,0,1,0,0.0565366666666713
"stress",7,"M1","p","DBSCAN_full",1000,25,2,6,"elliptical","normal",0.05,1,0.2,"isolated",-6.56977876269151e-08,0,0,0,1,0,0.0952233333333379
"stress",8,"M1","p","DBSCAN_full",1000,50,2,6,"elliptical","normal",0.05,1,0.2,"isolated",0,0,0,0,1,0,0.148680000000011
"stress",9,"M1","main_k","DBSCAN_full",1000,5,4,6,"elliptical","normal",0.05,1,0.2,"isolated",5.18882023602557e-06,0,0,0,1,0,0.0152033333333172
"stress",10,"M1","main_weights","DBSCAN_full",1000,5,2,6,"elliptical","normal",0.05,1,0.2,"isolated",0.00596159779090763,0.537093478198413,0.537093478198413,0.546666666666667,0.453333333333333,0,0.0190666666666433
"stress",11,"M1","separation","DBSCAN_full",1000,5,2,4,"elliptical","normal",0.05,1,0.2,"isolated",7.17196451855138e-05,0,0,0,1,0,0.0210900000000811
"stress",12,"M1","separation","DBSCAN_full",1000,5,2,8,"elliptical","normal",0.05,1,0.2,"isolated",4.73922232093349e-05,0.985711505696232,0.985711505696232,1,0,0,0.0198233333333731
"stress",13,"M1","main_structure","DBSCAN_full",1000,5,2,6,"spherical","normal",0.05,1,0.2,"isolated",1.62845505580865e-06,0.353082758323798,0.353082758323798,0.36,0.64,0,0.0198400000000129
"stress",14,"M1","main_distribution","DBSCAN_full",1000,5,2,6,"elliptical","t5",0.05,1,0.2,"isolated",0.000150611077182323,0,0,0,1,0,0.0241800000000057
"stress",15,"M1","main_distribution","DBSCAN_full",1000,5,2,6,"elliptical","t3",0.05,1,0.2,"isolated",0.000143961772244763,0,0,0,1,0,0.0256633333333502
