"study","cell_id","comparator","NPairs","MajorARI_MeanAdvantage","MajorARI_MCSE","MinorityDetectionF1_MeanAdvantage","MinorityDetectionF1_MCSE","MinorityClusterF1_MeanAdvantage","MinorityClusterF1_MCSE","AnyMicroDiscovery_MeanAdvantage","AnyMicroDiscovery_MCSE","AbsQError_MeanAdvantage","AbsQError_MCSE","SpuriousExtraClusters_MeanAdvantage","SpuriousExtraClusters_MCSE","end_to_end_seconds_MeanAdvantage","end_to_end_seconds_MCSE"
"stress",1,"TCLUST",300,-3.40535995297079e-06,2.11928235051032e-06,0.804934720741858,0.0113669739322368,0.804934720741858,0.0113669739322368,-0.95,0.0126040817299072,0.95,0.0126040817299072,0,0,-1.60554666666667,0.0209694650719371
"stress",2,"TCLUST",300,-8.86342935557375e-06,6.33083719218427e-06,0.648482358865249,0.0204960455247594,0.648482358865249,0.0204960455247594,-0.776666666666667,0.0240856578673185,0.776666666666667,0.0240856578673185,0,0,-0.832249999999999,0.024679123880689
"stress",3,"TCLUST",300,4.34205051418705e-07,3.58989076300223e-06,0.736956261219326,0.0165187305319247,0.736956261219326,0.0165187305319247,-0.876666666666667,0.0190161190402225,0.876666666666667,0.0190161190402225,0,0,-1.09726333333333,0.0231581538853743
"stress",4,"TCLUST",300,-3.26857368809256e-06,9.22938833848909e-07,0.861201137159038,0.00630023491573986,0.861201137159038,0.00630023491573986,-0.99,0.00575416091997579,0.99,0.00575416091997579,0,0,-3.63859,0.0220337423842607
"stress",5,"TCLUST",300,-1.1220727408349e-06,5.68376853567134e-07,0.811599501447341,0.0108262065087516,0.811599501447341,0.0108262065087516,-1,0,0.583333333333333,0.0393532817921355,-0.416666666666667,0.0393532817921355,-2.29703,0.0116591917748535
"stress",6,"TCLUST",300,0,0,0,0,0,0,0,0,0,0,0,0,-0.0740333333333335,0.000242838717843204
"stress",7,"TCLUST",300,0,0,0,0,0,0,0,0,0,0,0,0,-0.0954999999999859,0.000296448694240886
"stress",8,"TCLUST",300,0,0,0,0,0,0,0,0,0,0,0,0,-0.142966666666686,0.000565879182644973
"stress",9,"TCLUST",300,0,0,0,0,0,0,0,0,0,0,0,0,-0.0670100000000139,0.000446776763082662
"stress",10,"TCLUST",300,0,0,0,0,0,0,0,0,0,0,0,0,-0.062053333333256,0.00048190381766472
"stress",11,"TCLUST",300,0,0,0,0,0,0,0,0,0,0,0,0,-0.063446666666664,0.000350253080449196
"stress",12,"TCLUST",300,-4.87994023409007e-06,1.66900892165693e-06,0.82814130657166,0.0085621883458028,0.82814130657166,0.0085621883458028,-0.976666666666667,0.00873023594728576,0.976666666666667,0.00873023594728576,0,0,-1.66348666666668,0.0148969058262364
"stress",13,"TCLUST",300,-7.33213020279733e-07,1.10485543232331e-06,0.620495446843174,0.0221097594322181,0.620495446843174,0.0221097594322181,-0.73,0.0256748383522607,0.73,0.0256748383522607,0,0,-1.2275633333333,0.0411568105221937
"stress",14,"TCLUST",300,0,0,0,0,0,0,0,0,0,0,0,0,-0.0629666666666374,0.000273416524848681
"stress",15,"TCLUST",300,0,0,0,0,0,0,0,0,0,0,0,0,-0.0624099999999301,0.000400230841974643
"stress",16,"TCLUST",300,-3.18271917728004e-06,1.20987695045854e-06,0.813221120982211,0.0101902325345754,0.813221120982211,0.0101902325345754,-0.963333333333333,0.0108689706266209,0.963333333333333,0.0108689706266209,0,0,-1.11867333333332,0.0127559293868583
"stress",17,"TCLUST",300,0,0,0,0,0,0,0,0,0,0,0,0,-0.103226666666669,0.000605645924817628
"stress",18,"TCLUST",300,8.88204191569949e-07,7.6080457096266e-07,0.829049484230245,0.0055567292923231,0.829049484230245,0.0055567292923231,-1,0,1,0,0,0,-2.34626000000006,0.00799059488955575
"stress",19,"TCLUST",300,-1.36853495309082e-07,1.67290977159502e-06,0.830359952905342,0.00483352030234018,0.830359952905342,0.00483352030234018,-1,0,1,0,0,0,-2.04963999999997,0.0074216119972483
